SIRET,Nom de l'enseigne,nom_etab_officiel,search_query,type_activite,temporalité,Numéro et voie,Arrondissement,geo_point_2d
40025946100020,ZENDO,Inconnu,ZENDO 43 RUE GABRIEL LAME Paris,Restaurant,toute_annee,43 RUE GABRIEL LAME,75012.0,"48.834937176736275, 2.3856105194715544"
92074913200014,LES HERITIERS,LES HERITIERS,LES HERITIERS 33 RUE DE FECAMP Paris,Restaurant,toute_annee,33 RUE DE FECAMP,75012.0,"48.83591619461588, 2.3996663898487296"
94464228900010,LE RALLYE,LE RALLYE,LE RALLYE 34 RUE DES MEUNIERS Paris,Bar,toute_annee,34 RUE DES MEUNIERS,75012.0,"48.83466644638179, 2.396868084456889"
91146560700024,MAC DONNER,MAC DONNER,MAC DONNER 46 RUE SIBUET Paris,Restaurant,toute_annee,46 RUE SIBUET,75012.0,"48.844518680372936, 2.402419464544664"
98314735600015,LE PARIS LYON,LE PARIS LYON,LE PARIS LYON 27 RUE DE LYON Paris,Bar,toute_annee,27 RUE DE LYON,75012.0,"48.847728035379255, 2.371329376253968"
98272317300026,SAINT MINA,BELLE NAPOLI,SAINT MINA 40 BOULEVARD DE BERCY Paris,Restaurant,toute_annee,40 BOULEVARD DE BERCY,75012.0,"48.8400690959614, 2.380919933566989"
34357659100014,LAY VUOCH HUOR,Inconnu,LAY VUOCH HUOR 66 BOULEVARD SOULT Paris,Restaurant,toute_annee,66 BOULEVARD SOULT,75012.0,"48.84305698383101, 2.410185753820772"
89815267300015,BELDI,Inconnu,BELDI 1 RUE DE REUILLY Paris,Restaurant,toute_annee,1 RUE DE REUILLY,75012.0,"48.84965716728259, 2.3851202882157394"
92952500400016,LES NOUILLES EN FOLIE,LES NOUILLES EN FOLIE,LES NOUILLES EN FOLIE 4 RUE PARROT Paris,Restaurant,toute_annee,4 RUE PARROT,75012.0,"48.846675254563884, 2.372756720198339"
51085456500015,AU 105,Inconnu,AU 105 105 RUE DE CHARENTON Paris,Restaurant,toute_annee,105 RUE DE CHARENTON,75012.0,"48.84709072384492, 2.3781696561646584"
94969257800014,LE ZAI ZAI CAFE,LE ZAI ZAI CAFE,LE ZAI ZAI CAFE 11 RUE DUBRUNFAUT Paris,Restaurant,toute_annee,11 RUE DUBRUNFAUT,75012.0,"48.84010070240072, 2.3903535497003805"
53391894200012,LA PARISIENNE,Inconnu,LA PARISIENNE 24 BOULEVARD DIDEROT Paris,Restaurant,toute_annee,24 BOULEVARD DIDEROT,75012.0,"48.84584636384702, 2.3747971318929677"
93926344800010,LE CAMPUS,LE CAMPUS,LE CAMPUS 19 AVENUE DE SAINT MANDE Paris,Restaurant,que_ete,19 AVENUE DE SAINT MANDE,75012.0,"48.845364199476975, 2.3986623357486945"
48064265100016,L'EGLANTINE,Inconnu,L'EGLANTINE 21 RUE FABRE D'EGLANTINE Paris,Restaurant,que_ete,21 RUE FABRE D'EGLANTINE,75012.0,"48.84711027845055, 2.3955723206094848"
85294676300012,ZO EUN SIG TAG,Inconnu,ZO EUN SIG TAG 20 COURS DE VINCENNES Paris,Restaurant,toute_annee,20 COURS DE VINCENNES,75012.0,"48.84757733331071, 2.4008029105663504"
81896894300014,BASTA COSI,BAROMAITRES,BASTA COSI 24 RUE NICOLAI Paris,Bar,toute_annee,24 RUE NICOLAI,75012.0,"48.83591633027911, 2.3943387831474148"
80757738200011,L'ESCALE,BISTROT L'ESCALE,L'ESCALE 80 COURS DE VINCENNES Paris,Bar,toute_annee,80 COURS DE VINCENNES,75012.0,"48.8471118269271, 2.4060715708238396"
97957544600013,CHEZ YACH,CHEZ YACH,CHEZ YACH 2 AVENUE DU DOCTEUR ARNOLD NETTER Paris,Restaurant,que_ete,2 AVENUE DU DOCTEUR ARNOLD NETTER,75012.0,"48.84094809920171, 2.404861759314377"
91481937000018,WHAT’S THE POKE,Inconnu,WHAT’S THE POKE 43 RUE DES 5 DIAMANTS Paris,Restaurant,que_ete,43 RUE DES 5 DIAMANTS,75013.0,"48.82813762977843, 2.34998867917565"
79963490200016,MK FOOD,Inconnu,MK FOOD 71 BOULEVARD VINCENT AURIOL Paris,Restaurant,toute_annee,71 BOULEVARD VINCENT AURIOL,75013.0,"48.834748232461756, 2.36812201312539"
79205903200021,BUDDHA,BUDDHA,BUDDHA 13 RUE SAINT HIPPOLYTE Paris,Restaurant,toute_annee,13 RUE SAINT HIPPOLYTE,75013.0,"48.836005940909445, 2.347009062515885"
90183495200011,,Inconnu,Inconnu 79 BOULEVARD VINCENT AURIOL Paris,Restaurant,toute_annee,79 BOULEVARD VINCENT AURIOL,75013.0,"48.834613075416804, 2.367712690557744"
91759759300016,SECRET GARDEN,Inconnu,SECRET GARDEN 5 RUE FRANCOISE DOLTO Paris,Restaurant,toute_annee,5 RUE FRANCOISE DOLTO,75013.0,"48.82925588223526, 2.382580837570916"
82191301900013,LES DOCKS 13/14,LES DOCKS 13 / 14,LES DOCKS 13/14 11 RUE DE L AMIRAL MOUCHEZ Paris,Restaurant,toute_annee,11 RUE DE L AMIRAL MOUCHEZ,75013.0,"48.82550627705418, 2.341697538143877"
98375702200014,XIANGMEIZI,XIANGMEIZI,XIANGMEIZI 82 RUE BAUDRICOURT Paris,Restaurant,toute_annee,82 RUE BAUDRICOURT,75013.0,"48.824545015144366, 2.3622090926431896"
98763501800011,VIET THAI,VIET THAI,VIET THAI 201 AVENUE DE CHOISY Paris,Restaurant,que_ete,201 AVENUE DE CHOISY,75013.0,"48.831899999233784, 2.3559000010551054"
52137476900011,JIA LI,SAKOURA,JIA LI 13 RUE PAUL KLEE Paris,Restaurant,toute_annee,13 RUE PAUL KLEE,75013.0,"48.838968282192, 2.370643011242585"
98154904100011,SUBWAY,Inconnu,SUBWAY 77 QUAI PANHARD ET LEVASSOR Paris,Restaurant,toute_annee,77 QUAI PANHARD ET LEVASSOR,75013.0,"48.8313038660035, 2.3806294522932556"
83484570300018,LE ROYAL MASSENA,LE ROYAL MASSENA,LE ROYAL MASSENA 15 BOULEVARD MASSENA Paris,Bar,toute_annee,15 BOULEVARD MASSENA,75013.0,"48.82387315230677, 2.376925718527221"
95390008100019,LA BUTTE AUX PIAFS,LA BUTTE AUX PIAFS,LA BUTTE AUX PIAFS 31 BOULEVARD AUGUSTE BLANQUI Paris,Bar,que_ete,31 BOULEVARD AUGUSTE BLANQUI,75013.0,"48.83000652467737, 2.3521777214619135"
34918531400011,BANGKOK THAILAND,Inconnu,BANGKOK THAILAND 35 BOULEVARD AUGUSTE BLANQUI Paris,Restaurant,toute_annee,35 BOULEVARD AUGUSTE BLANQUI,75013.0,"48.8298352855899, 2.3516241624617673"
52998144100015,NEODY,ARLOCCHINO,NEODY 49 RUE DE TOLBIAC Paris,Restaurant,toute_annee,49 RUE DE TOLBIAC,75013.0,"48.8275602565454, 2.371161347639007"
34028354800022,JULES,JULES,JULES 12 BIS PLACE D ITALIE Paris,Restaurant,toute_annee,12 BIS PLACE D ITALIE,75013.0,"48.8307234974191, 2.3546843590899167"
82171734500010,L'OUSTALOU,L'OUSTALOU,L'OUSTALOU 2 RUE DES WALLONS Paris,Bar,toute_annee,2 RUE DES WALLONS,75013.0,"48.83912400073336, 2.360805252243694"
52439268500011,C.T.N.B.,Inconnu,C.T.N.B. 30 RUE DE PATAY Paris,Restaurant,toute_annee,30 RUE DE PATAY,75013.0,"48.825455843722224, 2.3749251531334856"
79011611500011,B CUISINE,B CUISINE,B CUISINE 34 RUE DE LA GLACIERE Paris,Restaurant,toute_annee,34 RUE DE LA GLACIERE,75013.0,"48.83433594443157, 2.344798138552371"
94793880900011,L'ATELIER SAISONNIER,L'ATELIER SAISONNIER,L'ATELIER SAISONNIER 55 RUE DE TOLBIAC Paris,Restaurant,toute_annee,55 RUE DE TOLBIAC,75013.0,"48.82743933472936, 2.370315898362098"
49190877800013,LE COCHE,LE COCHE,LE COCHE 124 RUE DE TOLBIAC Paris,Restaurant,toute_annee,124 RUE DE TOLBIAC,75013.0,"48.826275464340206, 2.3595229099867225"
97795666300024,LES MAUVAIS JOUEURS,Inconnu,LES MAUVAIS JOUEURS 12 BOULEVARD VINCENT AURIOL Paris,Restaurant,toute_annee,12 BOULEVARD VINCENT AURIOL,75013.0,"48.83710546264458, 2.3724946896047743"
89994265000032,RAYA THAI,RAYA THAI,RAYA THAI 21 BOULEVARD DU GÉNÉRAL JEAN SIMON Paris,Restaurant,toute_annee,21 BOULEVARD DU GÉNÉRAL JEAN SIMON,75013.0,"48.82643899866863, 2.38455899972051"
48109441500017,MOLTO GUSTO,MOLTO GUSTO,MOLTO GUSTO 111 RUE DU CHEVALERET Paris,Restaurant,toute_annee,111 RUE DU CHEVALERET,75013.0,"48.83117715157093, 2.373923305182456"
87920927800016,LES DELICES DU YUNNAN,Inconnu,LES DELICES DU YUNNAN 128 RUE DE TOLBIAC Paris,Restaurant,toute_annee,128 RUE DE TOLBIAC,75013.0,"48.82623933631576, 2.3591104139516665"
40961828700042,CHEZ YOU CAFE,CHEZ YOU CAFE,CHEZ YOU CAFE 113 AVENUE D'IVRY Paris,Restaurant,que_ete,113 AVENUE D'IVRY,75013.0,"48.82563907831748, 2.3609127082959755"
84495814000015,XING FU SHI GUANG,Inconnu,XING FU SHI GUANG 69 AVENUE DES GOBELINS Paris,Restaurant,toute_annee,69 AVENUE DES GOBELINS,75013.0,"48.83363732239442, 2.3543365505965044"
90185323400010,KADHEM,Inconnu,KADHEM 10 RUE DE TOLBIAC Paris,Restaurant,toute_annee,10 RUE DE TOLBIAC,75013.0,"48.829871185353646, 2.3752676192169604"
