SIRET,Nom de l'enseigne,nom_etab_officiel,type_activite,temporalité,Typologie,Numéro et voie,Arrondissement,etatAdministratifEtablissement,geo_point_2d,activitePrincipaleEtablissement
79437074200023,SILY,L'ORANGERAIE,Restaurant,toute_annee,TERRASSE OUVERTE,86 BOULEVARD DIDEROT,75012.0,A,"48.84684066063923, 2.383528108657726",56.10A
50038540600029,O ATLANTICO,O ATLANTICO,Restaurant,toute_annee,TERRASSE OUVERTE,313 RUE DE CHARENTON,75012.0,A,"48.83376190878602, 2.3949212580056884",56.10A
51205417200014,SNC LIU LAI,LA TERRASSE,Restaurant,toute_annee,CONTRE-TERRASSE OUVERTE,1 PLACE LACHAMBEAUDIE,75012.0,A,"48.8358542718701, 2.3860930523320456",56.10A
43343446100011,LE BERBÈRE,Inconnu,Restaurant,toute_annee,TERRASSE FERMÉE,62 RUE CROZATIER,75012.0,A,"48.849514774540644, 2.379698258944451",56.10A
89256685200018,AU TRAMWAY,AU TRAMWAY,Restaurant,toute_annee,PLANCHER MOBILE,253 AVENUE DAUMESNIL,75012.0,A,"48.837420903575044, 2.4021098898145645",56.10A
89256685200018,AU TRAMWAY,AU TRAMWAY,Restaurant,toute_annee,CONTRE-TERRASSE OUVERTE,253 AVENUE DAUMESNIL,75012.0,A,"48.83739183952096, 2.402006925708273",56.10A
41299080600017,L'EBAUCHOIR,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,43 RUE DE CITEAUX,75012.0,A,"48.84985851588384, 2.381151224659096",56.10A
85267059500028,LE PETIT RELAIS,LE PETIT RELAIS,Bar,toute_annee,TERRASSE OUVERTE,47 RUE DE LA BRECHE AUX LOUPS,75012.0,A,"48.8386915620588, 2.3960503383601597",56.30Z
42452146600021,SARL BELART,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,26 PLACE DE LA NATION,75012.0,A,"48.84749008183158, 2.396987354281487",56.10A
41810907000015,LE RELAIS D'OR,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,104 BOULEVARD PONIATOWSKI,75012.0,A,"48.83499852520204, 2.4061377797259795",56.10C
39986714200032,LE PETIT ALBERT,LE COMPTOIR DOREE,Restaurant,toute_annee,TERRASSE FERMÉE,99 BOULEVARD PONIATOWSKI,75012.0,A,"48.834444924776484, 2.404403078221908",56.10A
75383703800011,LA TERRASSE BERCY,LA TERRASSE BERCY,Restaurant,toute_annee,TERRASSE OUVERTE,104 RUE DE BERCY,75012.0,A,"48.8390408880409, 2.3808406441564816",56.10A
44925885400016,CAFE CHAMBERTIN,Inconnu,Restaurant,toute_annee,TERRASSE FERMÉE,8 RUE DE CHAMBERTIN,75012.0,A,"48.84009788596363, 2.3803747799569313",56.10A
53391894200012,LA PARISIENNE,Inconnu,Restaurant,toute_annee,TERRASSE OUVERTE,24 BOULEVARD DIDEROT,75012.0,A,"48.84584636384702, 2.3747971318929677",56.10C
